vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
180,lkekU;,ikoj fyf¶Vax,192121965,vk- dVkj flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,74 fdxzk-,Lo.kZ
181,lkekU;,ikoj fyf¶Vax,&,Qk;jeSu fo'kky pkS/kjh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,83 fdxzk-,Lo.kZ
182,lkekU;,ikoj fyf¶Vax,&,e-vk- fiz;adk 'kqDyk,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,76 fdxzk-,dkaL;
183,dq-f[k-,HkkjksRrksyu,232030208,vk- jksfgr dqekj ;kno,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,55 fdxzk-,jtr
184,dq-f[k-,HkkjksRrksyu,234240294,vk- lqns'k dqekj ik.Ms;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,61 fdxzk-,dkaL;
185,dq-f[k-,HkkjksRrksyu,234240236,e-vk- jk/kk lksuh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,49 fdxzk-,dkaL;
186,dq-f[k-,HkkjksRrksyu,232010105,e-vk- 'kkfyuh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,55 fdxzk-,jtr
187,dq-f[k-,HkkjksRrksyu,232510605,vk- izos'k cSlks;k,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,73 fdxzk-,dkaL;
188,dq-f[k-,HkkjksRrksyu,232650107,vk- vkdk'k,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,81 fdxzk-,dkaL;
189,dq-f[k-,HkkjksRrksyu,&,lyksuh flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,59 fdxzk-,dkaL;
190,dq-f[k-,HkkjksRrksyu,&,fl)kUr pkS/kjh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,102 fdxzk-,Lo.kZ
191,lkekU;,HkkjksRrksyu,&,c`ts'k dqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,89 fdxzk-,Lo.kZ
192,lkekU;,;ksxk,"182550616
162101007","lxqQk rkSghn]
liuk f}osnh",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,fjnfed is;j,dkaL;
193,lkekU;,;ksxk,&,"eq-vk- vuqjkx efyd
eq-vk- c`ts'k iz/kku",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,fjnfed is;j,Lo.kZ
194,lkekU;,;ksxk,&,fd'ku dqekj] c`ts'k iz/kku] vuqjkx efyd] jktdqekj fcUn] jfoUnz flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd xzqi,jtr
195,lkekU;,;ksxk,&,"jktho dqekj
vjfoUn flag",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd is;j,jtr
196,lkekU;,;ksxk,&,fjrq Bkdqj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,28&35,Lo.kZ
197,lkekU;,;ksxk,&,fd”ku dqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,lhfu;j ;ksxk,Lo.kZ
198,lkekU;,;ksxk,&,vuqjkx efyd,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,lhfu;j ;ksxk,jtr
199,lkekU;,;ksxk,&,fd”ku dqekj] jktdqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd is;j,dkaL;
200,lkekU;,;ksxk,&,fjrw Bkdqj] eksfudk “kqDyk,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd is;j,jtr
201,lkekU;,;ksxk,&,egs”kpUnz R;kxh] gfjvkse falg] jktho dqekj] vjfoUn flag] dey flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd ;ksxklu xzqi,jtr
202,lkekU;,;ksxk,&,Lkk/kuk ik.Ms;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,lhfu;j ;ksxk,dkaL;
203,dq-f[k-,",FkysfVDl",232290301,e-vkj{kh mtkyk,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,Lo.kZ
204,dq-f[k-,",FkysfVDl",232510719,vkj{kh fizUl dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,Lo.kZ
205,dq-f[k-,",FkysfVDl",232530014,vkj{kh eks- vyhe,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,jtr
206,dq-f[k-,",FkysfVDl",232030123,e-vkj{kh eerk iky,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,dkaL;
207,dq-f[k-,",FkysfVDl",234100499,vkj{kh bjQku,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,800eh- ju,Lo.kZ
208,dq-f[k-,",FkysfVDl",232330278,e-vkj{kh [kq'kcw oekZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,fVªiy tEi,dkaL;
209,dq-f[k-,",FkysfVDl",234100183,vkj{kh dju dqekj ljkst,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,iksy okYV,dkaL;
210,lkekU;,",FkysfVDl",180540378,ihlh cyjke,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,dkaL;
211,dq-f[k-,",FkysfVDl",232330092,vk- fjfrd ckfy;ku,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,LVhiy psl,Lo.kZ
212,dq-f[k-,",FkysfVDl",234240223,e-vk- fjfRodk flag,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,100eh- gMZy,dkaL;
213,dq-f[k-,",FkysfVDl",232030266,vk- lUnhi dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,gkbZ tEi,dkaL;
214,dq-f[k-,",FkysfVDl",232330050,vk- vkdk'k xzsgoky,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024, 'kkViqV,jtr
215,dq-f[k-,",FkysfVDl",232650064,vk- f'koe pkS/kjh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024, 'kkViqV,dkaL;
216,dq-f[k-,",FkysfVDl",234240135,e-vk- js'kek iVsy,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10fdeh okdpky,Lo.kZ
217,dq-f[k-,",FkysfVDl",232330164,vk- lfpu ;kno,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,tSofyu,Lo.kZ
218,dq-f[k-,",FkysfVDl",232510748,vk- vk;Zu pkS/kjh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,ykWx tEi,Lo.kZ
219,dq-f[k-,",FkysfVDl",232510719,vk- fizUl dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,5000eh- ju,Lo.kZ
220,lkekU;,",FkysfVDl",180540378,ihlh cyjke,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,5000eh- ju,jtr
221,dq-f[k-,",FkysfVDl",232530014,vk- eks- vyhe,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,5000eh- ju,dkaL;
222,dq-f[k-,",FkysfVDl",&,fiz;adk fldjokj] jks'kuh ;kno] Vhuk] fjadh iky,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,4x100eh-,Lo.kZ
223,dq-f[k-,",FkysfVDl",&,yfo'k 'kekZ] f'kokax feJk] iadt] eksfgr dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,4x100eh-,Lo.kZ
224,lkekU;,",FkysfVDl",182480616,e-vk- euksjek,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,1500eh-,jtr
225,dq-f[k-,",FkysfVDl",232290082,e-vk- yoyh jktiwr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,400eh- gMZy,jtr
226,dq-f[k-,",FkysfVDl",234130157,vk- vHk; ukjk;.k ;kno,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,400eh- gMZy,dkaL;
227,dq-f[k-,",FkysfVDl",232330281,e-vk- fiz;adk fldjokj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,200eh,dkaL;
228,dq-f[k-,lkbfDyax,232510836,e-vk- :fpdk flag,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,30fdeh-,dkaL;
229,dq-f[k-,lkbfDyax,232330425,vkj{kh eqdqy,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,30fdeh-,dkaL;
230,dq-f[k-,lkbfDyax,232510214,e-vkj{kh vkjrh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,80fdeh-,Lo.kZ
231,dq-f[k-,lkbfDyax,232510214,e-vkj{kh vkjrh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,30fdeh-,jtr
232,lkekU;,lkbfDyax,180500420,vk- lquhy dqekj lkguh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,20fdeh-,jtr
233,lkekU;,lkbfDyax,192032852,e-vk- vuhrk feJk,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,15fdeh-,dkaL;
234,lkekU;,lkbfDyax,190733838,vk- jfo dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,20fdeh-,dkaL;
235,lkekU;,आर्चरी,160450846,मु.आ.जयदीप कुशवाहा,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,इण्डियन राउण्ड 50 मीटर (पुरूष),jtr
236,dq-f[k-,आर्चरी,232290284,आ. वासू सैनी,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ओलम्पिक राउण्ड,dkaL;
237,dq-f[k-,आर्चरी,232030064,म.आ. दीपिका पाण्डेय,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,इण्डियन राउण्ड 30 मीटर (महिला),Lo.kZ
238,dq-f[k-,आर्चरी,232030064,म.आ. दीपिका पाण्डेय,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ऑल ओवर,Lo.kZ
239,dq-f[k-,आर्चरी,232030064,म.आ. दीपिका पाण्डेय,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ओलम्पिक राउण्ड,Lo.kZ
240,dq-f[k-@lk-,आर्चरी,"160450846
232030064","मु.आ.जयदीप कुशवाहा
म.आ. दीपिका पाण्डेय",13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,मिक्स टीम,dkaL;
241,dq-f[k-,आर्चरी,234240366,आ. श्रेय भारद्वाज,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,रिकर्व राउण्ड 30 मीटर (पुरूष),Lo.kZ
242,dq-f[k-,आर्चरी,234240366,आ. श्रेय भारद्वाज,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,रिकर्व राउण्ड 70 मीटर (पुरूष),jtr
243,dq-f[k-,आर्चरी,234240366,आ. श्रेय भारद्वाज,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ऑल ओवर,jtr
244,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,कम्पाउण्ड राउण्ड 50 मीटर प्रथम राउण्ड (पुरूष),Lo.kZ
245,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ऑल ओवर,Lo.kZ
246,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ओलम्पिक राउण्ड,dkaL;
247,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,कम्पाउण्ड राउण्ड 50 मीटर द्वितीय राउण्ड (पुरूष),dkaL;
248,dq-f[k-,आर्चरी,232290200,आ. हर्ष वालियान,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,कम्पाउण्ड राउण्ड 50 मीटर (पुरूष),jtr
249,dq-f[k-,आर्चरी,"230490972
232290226
232330021
232290200","आ.तरूण कुमार दीक्षित
आ. अनन्त सैनी
आ.निशान्त मलिक
आ. हर्ष वालियान",13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,टीम ईवेन्ट,Lo.Kz
250,lkekU;,dEI;wVj vos;us'k,"170952967
175092581","vfiZr xqIrk
etgj beke",68oha vf[ky Hkkjrh; iqfyl M~;wVh ehV izfr;ksfxrk 2024&25,jkaph >kj[k.M,"10-02-2025 ls 
15-02-2025 ",2025,dEI;wVj vos;usl bosUV&lll,Lo.kZ
251,dq-f[k-,okVj LiksVZ~l,"232290343
234100239","djuchj flag fHkUMj
“kksfHkr ik.Ms;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,jkbZax 2000eh- Mcy Ldy,Lo.kZ
252,dq-f[k-@lk-,okVj LiksVZ~l,"234240470
190721163
232510937
232330601 ","nhika”kq Hkkjrh;
c`teksgu ;kno
g’kZ dqekj
jkSud", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&4 1000eh-,Lo.kZ
253,dq-f[k-,okVj LiksVZ~l,"232031780
232510331
232330513
232010192","vkfnR; flag
yksds”k
fuf[ky dqekj
lks;y", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,jkbZax 2000 M Coxless Four,jtr
254,dq-f[k-,okVj LiksVZ~l,"232510953
232510881","iznhi dqekj
vHk;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&2 1000eh-,jtr
255,dq-f[k-,okVj LiksVZ~l,"232290372
232010118","lR;e ckfy;ku
cyohj tkV", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&2 1000eh-,dkaL;
256,dq-f[k-,okVj LiksVZ~l,"232510139
232510865
232510201
232290369","vt;ohj flag
g’kZ ukany
fiz;ka”kq ukxj
doythr flag", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&4 1000eh-,dkaL;
257,dq-f[k-,okVj LiksVZ~l,232330584,fo'kky dqekj, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&1 500eh-,Lo.kZ
258,dq-f[k-,okVj LiksVZ~l,232330584,fo'kky dqekj, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&1 1000eh-,Lo.kZ
259,dq-f[k-,okVj LiksVZ~l,"234240470
232510184
232510937
232330601","nhika”kq Hkkjrh;
vfHkuo
g’kZ dqekj
jkSud", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&4 500eh,Lo.kZ
260,dq-f[k-,okVj LiksVZ~l,&,vfHkeU;q iVsy, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&1 500eh,Lo.kZ
261,dq-f[k-,okVj LiksVZ~l,"232510083
232510881
232510865
232510953","fufru flag
vHk;
g""kZ ukany
iznhi dqekj", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&4 500eh-,jtr
262,dq-f[k-,okVj LiksVZ~l,"232510953
232510881","iznhi dqekj
vHk;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&2 500eh-,jtr
263,dq-f[k-,okVj LiksVZ~l,"232290372
232010118","lR;e ckfy;ku
cyohj tkV", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&2 500eh,dkaL;
264,dq-f[k-,okVj LiksVZ~l,232010176,xksfoUn flag jktiwr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,500eh- flaxy Ldy,jtr
265,dq-f[k-,okVj LiksVZ~l,"232290343
234100239","djuchj flag fHkUMj
“kksfHkr ik.Ms;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,500eh- Mcy Ldy,jtr
266,dq-f[k-,okVj LiksVZ~l,"232510881
232510201","vHk;
fiz;ka'kq ukxj", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,200eh- dSuks 2,jtr
267,dq-f[k-,ftEukfLVd,"234240467
234240441
234240395
232290356
232031823
232510113
232330441","vkj{kh la{ksi ;kno
luh flag
eks- vQlkj [kku
vkdk”k vk;Z
lanhi dqekj
Hkxr flag
v{kr",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,Vhe bosUV,dkaL;
268,,ftEukfLVd,234240441,luh flag,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,vkWy jkm.M,dkaL;
269,,ftEukfLVd,232510113,Hkxr flag,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,¶yksj,Lo.kZ
270,,ftEukfLVd,232330441,v{kr,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,ikesy gklZ,jtr
271,,ftEukfLVd,232290356,vkdk”k vk;Z,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,iSjyy ckj,Lo.kZ
272,,Qsaflax,&,"vkj{kh fd”ku flag
vkj{kh txnh”k
vkj{kh veu dqekj
vkj{kh dfiy fldjokj",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,"lscj Vhe bosUV iq:""k",dkaL;
