,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण
281,e-vkj{kh vfLerk Ms,twMks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",f=iqjk
282,vkj{kh fo'kky pkSgku,twMks,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
283,vkj{kh lquhy,twMks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrjk[k.M
284,vkj{kh tfru,twMks,Lo.kZ,dkeuosYFk twMks pSfEi;uf'ki 2023,gfj;k.kk
285,vkj{kh vt; ;kno,twMks,Lo.kZ,dkeuosYFk twMks pSfEi;uf'ki,mRrj izns'k
286,efgyk vkj{kh vfLerk Ms,twMks,jtr,dkeuosYFk twMks pSfEi;uf'ki,f=iqjk
287,tfru,twMks,dkaL;,"ek vksu lkg LiksV~l ls.Vj] gkaxdkax esa vk;ksftr ,f'k;u twMks vksiu 2024",gfj;k.kk
288,e-vkj{kh vfLerk Ms,twMks,Lo.kZ,16-01-2025 dks vQzhdu vksiu di,f=iqjk
289,vfLerk Ms,twMks,jtr,lhfu;j us'kuy pSfEi;uf'ki,f=iqjk
290,vafre ;kno,twMks,dkaL;,lhfu;j us'kuy pSfEi;uf'ki,mRrj izns'k
291,euh 'kekZ,twMks,dkaL;,lhfu;j us'kuy pSfEi;uf'ki,iatkc
292,vfLerk Ms,twMks,Lo.kZ,38osa us'kuy xsEl 2025,f=iqjk
293,vafre ;kno,twMks,dkaL;,38osa us'kuy xsEl 2025,e/; izns'k
294,euh 'kekZ,twMks,dkaL;,38osa us'kuy xsEl 2025,iatkc
295,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
296,आ. अनन्त सैना,vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,mRrj izns'k
297,आ. तरूण दीक्षित,vkpZjh,dkaL;,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,gfj;k.kk
298,आ. श्रेय भारद्वाज,vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
299,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
300,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
301,"e-vk- thur vkjk] 
e-vk- lqeu pkS/kjh",vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,"mRrj izns'k
jktLFkku"
302,"vk-Js; Hkkj}kt] 
e-vk- lqeu pkS/kjh",vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,"fcgkj
jktLFkku"
303,आ. वासू सैनी,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
304,म.आ. दीपिका पाण्डेय,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
305,म.आ. दीपिका पाण्डेय,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
306,म.आ. दीपिका पाण्डेय,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
307,म.आ. दीपिका पाण्डेय,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
308,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,fcgkj
309,आ. श्रेय भारद्वाज,vkpZjh,jtr,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,fcgkj
310,आ. श्रेय भारद्वाज,vkpZjh,jtr,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,fcgkj
311,आ.तरूण कुमार दीक्षित,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
312,आ.तरूण कुमार दीक्षित,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
313,आ.तरूण कुमार दीक्षित,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
314,आ.तरूण कुमार दीक्षित,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
315,आ. हर्ष वालियान,vkpZjh,jtr,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
316,"आ.तरूण कुमार दीक्षित
आ. अनन्त सैनी
आ.निशान्त मलिक
आ. हर्ष वालियान",vkpZjh,Lo.Kz,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,"gfj;k.kk
mRrj izns'k
mRrj izns'k
mRrj izns'k"
317,Js; Hkkj}kt,vkpZjh,jtr,37osa us'kuy xsEl esa >kj[k.M Vhe dh vksj ls,fcgkj
318,lkSjHk ekS;kZ,vkpZjh,Lo.kZ,"43oha ,uVhih,lh twfu;j us'kuy rhjankth izfr;ksfxrk",mRrj izns'k
319,lkSjHk ekS;kZ,vkpZjh,jtr,37os us'kuy xsEl,mRrj izns'k
320,दीपिका पाण्डेय,vkpZjh,jtr,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,mRrj izns'k
321,दीपिका पाण्डेय,vkpZjh,dkaL;,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,mRrj izns'k
322,Js; Hkkj}kt,vkpZjh,Lo.kZ,38osa us'kuy xsEl 2025,fcgkj
323,nhfidk ik.Ms;,vkpZjh,dkaL;,44osa twfu;j us”kuy xsEl ,mRrj izns'k
324,nhfidk ik.Ms;,vkpZjh,dkaL;,44osa twfu;j us”kuy xsEl ,mRrj izns'k
325,आ. सुब्रत राज वर्मा,Vscy Vsful,jtr,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
326,म.आ. श्रष्टी जैसवाल   ,Vscy Vsful,jtr,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
327,म.आ. गुनगुन साहू    ,Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
328,"म.आ. गुनगुन साहू, म.आ. श्रष्टी जैसवाल",Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
329,"आ. अरविन्द चौधरी, 
आ. सुब्रत राज वर्मा, 
आ. विशाल राज",Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,"mRrj izns'k
mRrj izns'k
fcgkj"
330,म.आ. गुनगुन साहू,Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
331,आ. विशाल राज,Vscy Vsful,dkaL;,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,fcgkj
332,आ. सुब्रत राज वर्मा,Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
333,"आ. अरविन्द चौधरी,
 आ. विशाल राज",Vscy Vsful,jtr,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,"mRrj izns'k
fcgkj"
334,"म.आ. गुनगुन साहू, म.आ.श्रष्टि जायसवाल ",Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
335,"आ. सुब्रत राज वर्मा, म.आ.श्रष्टि जायसवाल",Vscy Vsful,dkaL;,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
336,"vjfoUn pkS/kjh
d`"".kk flag
lqczrjkt oekZ
fo'kky jkt",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,"mRrj izns'k
mRrj izns'k
mRrj izns'k
fcgkj"
337,vjfoUn pkS/kjh,Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
338,"lqczrjkt oekZ
J`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
339,lqczrjkt oekZ,Vscy Vsful,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
340,"vjfoUn pkS/kjh
xquxqu lkgw",Vscy Vsful,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
341,"xquxqu lkgw
J`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
342,"l`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
343,"xquxqu lkgw
J`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
344,xquxqu lkgw,Vscy Vsful,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
