,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण
295,"_f""krk jk;",rkbZDok.Mks,Lo.kZ,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,mRrj izns'k
296,"vuUr fo'odekZ 
eks- gkfj'k] 
v:.k lkguh",gkWdh,dkaL;,14oha gkWdh bf.M;k lhfu;j esUl us'kuy pSfEi;uf'ki-2024,mRrj izns'k
297,दीपिका पाण्डेय,vkpZjh,jtr,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,mRrj izns'k
298,दीपिका पाण्डेय,vkpZjh,dkaL;,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,mRrj izns'k
299,"अभय
प्रदीप कुमार",okVjLiksVZ~l,dkaL;,35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"mRrjk[k.M
mRrj izns'k"
300,"अभय
प्रदीप कुमार",okVjLiksVZ~l,jtr,35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"mRrjk[k.M
mRrj izns'k"
301,"सत्यम बालियान
बलवीर जाट",okVjLiksVZ~l,jtr,35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"mRrj izns'k
e/;izns'k"
302,"अमन रावल 
शशांक त्रिपाठी ", 'kwfVax,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (राइफल) प्रतियोगिता ,"gfj;k.kk
mRrj izns'k"
303,"निशान्त तोमर
आलोक गोयल", 'kwfVax,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
304,vadqj, 'kwfVax,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
305,"vueksy vjksMk
ekuosUnz pkS/kjh", 'kwfVax,Lo.kZ,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"fnYyh
mRrj izns'k"
306,"vk'kh""k dqekj MksMoky
xkSjo 'kekZ", 'kwfVax,Lo.kZ,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"fnYyh
Qjhnkckn"
307,"vueksy vjksMk
vkyksd xks;y", 'kwfVax,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"fnYyh
mRrj izns'k"
308,vYdqe fu'kk, 'kwfVax,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
309,"usgk
euh""kk iky", 'kwfVax,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
310,usgk, 'kwfVax,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
311,"vk'kh""k dqekj MksMoky", 'kwfVax,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,fnYyh
312,"vk'kh""k dqekj MksMoky", 'kwfVax,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,fnYyh
313,usgk, 'kwfVax,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
314,vfLerk Ms,twMks,jtr,lhfu;j us'kuy pSfEi;uf'ki,f=iqjk
315,vafre ;kno,twMks,dkaL;,lhfu;j us'kuy pSfEi;uf'ki,mRrj izns'k
316,euh 'kekZ,twMks,dkaL;,lhfu;j us'kuy pSfEi;uf'ki,iatkc
317,"eerk iky
mtkyk
uhrw dqekj",",FkysfVDl",dkaL;,59oha us'kuy ØkWld.Vªh pSfEi;uf'ki,mRrj izns'k
318,"lR;thr pijkuk
fnfXot; flag
g""kZ Mkxj
dq'ky flag",ckLdsVcky,jtr, 4th 3x3 Senior National Basketball Championship (men/women) ,"mRrj izns'k
jktLFkku
gfj;k.kk
mRrj izns'k"
319,eksfgr Fkkik,oq'kw,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
320,lwjt ;kno,oq'kw,Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
321,Jqfr ljoS;k,oq'kw,Lo.kZ,38osa us'kuy xsEl 2025,fnYyh
322,izsj.kk,oq'kw,Lo.kZ,38osa us'kuy xsEl 2025,fnYyh
323, 'kqHke dqekj,dcM~Mh,Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
324,Js; Hkkj}kt,vkpZjh,Lo.kZ,38osa us'kuy xsEl 2025,fcgkj
325,_f’krk jk;,rkbZDok.Mks,Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
326,e/kq flag,rkbZDok.Mks,dkaL;,38osa us'kuy xsEl 2025,mRrj izns'k
327,vfLerk Ms,twMks,Lo.kZ,38osa us'kuy xsEl 2025,f=iqjk
328,vafre ;kno,twMks,dkaL;,38osa us'kuy xsEl 2025,e/; izns'k
329,euh 'kekZ,twMks,dkaL;,38osa us'kuy xsEl 2025,iatkc
330,papy fljksgh,dq'rh,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
331,vafdr,dq'rh,dkaL;,38osa us'kuy xsEl 2025,gfj;k.kk
332,lfpu ;kno,",FkysfVDl",Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
333,vuq,dcM~Mh,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
334,"vHk;
iznhi dqekj",okVjLiksVZ~l,dkaL;,38osa us'kuy xsEl 2025,"mRrjk[k.M
mRrj izns'k"
335,"pUnu ;kno
izrhd fuxe
eksgEen gkfj'k
v:.k lkguh",gkWdh,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
336,nhfidk ik.Ms;,vkpZjh,dkaL;,44osa twfu;j us”kuy xsEl ,mRrj izns'k
337,nhfidk ik.Ms;,vkpZjh,dkaL;,44osa twfu;j us”kuy xsEl ,mRrj izns'k
338,djuohj flag fHkUMj,okVjLiksVZ~l,Lo.kZ,42oha lhfu;j us”kuy jksbZx izfr;ksfxrk,mRrj izns'k
339,fiz;ka'kh iztkifr,dq'rh,Lo.kZ,lhfu;j us'kuy dq'rh QsMjs'ku di,e/; izns'k
340,nh{kk rksej,dq'rh,dkaL;,lhfu;j us'kuy dq'rh QsMjs'ku di,mRrj izns'k
341,fiza;dk,oq'kw,jtr,8oha QsMjs'ku di us'kuy oq'kw pSfEi;uf'ki ¼vksyfEid la?k ls ekU;rk izkIr ugha½,iatkc
342,fiza;dk,oq'kw,jtr,8oha QsMjs'ku di us'kuy oq'kw pSfEi;uf'ki ¼vksyfEid la?k ls ekU;rk izkIr ugha½,iatkc
343,lfpu ;kno,",FkysfVDl",Lo.kZ,"28oha QsMjs'ku di lhfu;j ,FkysfVDl izfr;ksfxrk",mRrj izns'k
344,"lq""kek",",FkysfVDl",dkaL;,fjys dkfuZoky izfr;ksfxrk,mRrj izns'k
345,"euds'k
fodzkUr flag
 'kkg:[k uokt
vfer flag
 'kqHke ljkst
veku pkS/kjh",gS.Mcky,dkaL;,36oha QsMjs'ku di pSfEi;uf'ki,"gfj;k.kk
tcyiqj
mRrj izns'k
mRrj izns'k
mRrj izns'
mRrj izns'k"
346,"fnfXot; flag
g""kZ Mkxj
dq'ky flag",ckLdsVcky,Lo.kZ,;wFk&23 3x3 us'kuy ckLdsVcky pSfEi;uf'ki 2025,"jktLFkku
gfj;k.kk
mRrj izns'k"
347,jfo lw;Zoa”kh,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,mRrj izns'k
348,_’kHk ukxj,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,mRrj izns'k
349,fpUVw ukxj,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,mRrj izns'k
350,Jqfr ljoS;k,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,fnYyh
351, fiz;adk,oq'kw,jtr,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,iatkc
352, fiz;adk,oq'kw,dkaL;,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,iatkc
353,eq-vk- foosd efyd, 'kwfVax,dkaL;,62oha us'kuy 'kwfVax pSfEi;uf'ki,mRrj izns'k
354,e-eq-vk- bUnw pkS/kjh,dq'rh,Lo.kZ,21oha owesu lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
