vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
341,dq-f[k-,okVj LiksVZ~l,"232031780
232510331
232330513
232010192","vkfnR; flag
yksds”k
fuf[ky dqekj
lks;y", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,jkbZax 2000 M Coxless Four,jtr
342,dq-f[k-,okVj LiksVZ~l,"232510953
232510881","iznhi dqekj
vHk;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&2 1000eh-,jtr
343,dq-f[k-,okVj LiksVZ~l,"232290372
232010118","lR;e ckfy;ku
cyohj tkV", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&2 1000eh-,dkaL;
344,dq-f[k-,okVj LiksVZ~l,"232510139
232510865
232510201
232290369","vt;ohj flag
g’kZ ukany
fiz;ka”kq ukxj
doythr flag", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&4 1000eh-,dkaL;
345,dq-f[k-,okVj LiksVZ~l,232330584,fo'kky dqekj, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&1 500eh-,Lo.kZ
346,dq-f[k-,okVj LiksVZ~l,232330584,fo'kky dqekj, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&1 1000eh-,Lo.kZ
347,dq-f[k-,okVj LiksVZ~l,"234240470
232510184
232510937
232330601","nhika”kq Hkkjrh;
vfHkuo
g’kZ dqekj
jkSud", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&4 500eh,Lo.kZ
348,dq-f[k-,okVj LiksVZ~l,&,vfHkeU;q iVsy, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&1 500eh,Lo.kZ
349,dq-f[k-,okVj LiksVZ~l,"232510083
232510881
232510865
232510953","fufru flag
vHk;
g""kZ ukany
iznhi dqekj", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&4 500eh-,jtr
350,dq-f[k-,okVj LiksVZ~l,"232510953
232510881","iznhi dqekj
vHk;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,dSuks lh&2 500eh-,jtr
351,dq-f[k-,okVj LiksVZ~l,"232290372
232010118","lR;e ckfy;ku
cyohj tkV", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&2 500eh,dkaL;
352,dq-f[k-,okVj LiksVZ~l,232010176,xksfoUn flag jktiwr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,500eh- flaxy Ldy,jtr
353,dq-f[k-,okVj LiksVZ~l,"232290343
234100239","djuchj flag fHkUMj
“kksfHkr ik.Ms;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,500eh- Mcy Ldy,jtr
354,dq-f[k-,okVj LiksVZ~l,"232510881
232510201","vHk;
fiz;ka'kq ukxj", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,200eh- dSuks 2,jtr
355,dq-f[k-,ftEukfLVd,"234240467
234240441
234240395
232290356
232031823
232510113
232330441","vkj{kh la{ksi ;kno
luh flag
eks- vQlkj [kku
vkdk”k vk;Z
lanhi dqekj
Hkxr flag
v{kr",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,Vhe bosUV,dkaL;
356,dq-f[k-,ftEukfLVd,234240441,luh flag,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,vkWy jkm.M,dkaL;
357,dq-f[k-,ftEukfLVd,232510113,Hkxr flag,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,¶yksj,Lo.kZ
358,dq-f[k-,ftEukfLVd,232330441,v{kr,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,ikesy gklZ,jtr
359,dq-f[k-,ftEukfLVd,232290356,vkdk”k vk;Z,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,iSjyy ckj,Lo.kZ
360,lkekU;,Qsaflax,&,"vkj{kh fd”ku flag
vkj{kh txnh”k
vkj{kh veu dqekj
vkj{kh dfiy fldjokj",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,"lscj Vhe bosUV iq:""k",dkaL;
361,lkekU;,Qsaflax,&,"vkj{kh lqear izlkn
vkj{kh jfo ?kwfl;k
vkj{kh “kSysUnz dqekj jke
vkj{kh “kf”kdkar tSlokj",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,"¶okby Vhe bosUV iq:""k",dkaL;
362,lkekU;,Qsaflax,&,"vkj{kh fizal pkS/kjh
vkj{kh mes”k ;kno
vkj{kh tksxsUnz
vkj{kh va”kfxu dqekj",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,"bZih Vhe bosUV iq:""k",dkaL;
363,lkekU;,Qsaflax,&,"e-vkj{kh lSQkyh iky
e-vkj{kh fiz;adk f}osnh
e-vkj{kh f”k[kk 
e-vkj{kh [kq”kcw",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,lscj Vhe bosUV efgyk,dkaL;
364,lkekU;,Qsaflax,&,"e-vkj{kh oanuk ;kno
e-vkj{kh “kqjfHk
e-vkj{kh f”kYih
e-vkj{kh vuhrk",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,¶okby Vhe bosUV efgyk,dkaL;
365,dq-f[k-@lk-,dcM~Mh,&,vtqZu ns'koky] vt; jkBh] fofur uSu] /kuUt; dqekj] yfyr pkS/kjh] 'kqHke dqekj] vktkn flag] vtosUnz flag] ikfjrks'k rsofr;k] fuxe pkS/kjh] vadq'k dqekj] fodze izrki falag,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,"Vhe bosUV iq:""k",Lo.kZ
366,dq-f[k-@lk-,dcM~Mh,232290141 232330614 232032044 232032057 232510256 232290167 232510298 232330627 232510025 192674890 162294024 162803798 ,"f'kokuh
Lusgk
vpZuk ;kno
csoh ;kno
eUuw
vuq
fiz;k
o""kkZ rkfy;ku
vpZuk
o""kkZ R;kxh
lksfudk ukxj
usgk",izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,tkya/kj] iatkc ,02-03-2025 ls 06-03-2025 ,2025,Vhe bosUV efgyk,jtr
367,lkekU;,lsid Vdjk,,"e-vkj{kh izhrh
Losrk rksej
fjadh iVsy
fjadh
izfrdk vk;kZ
dq”kqe jkuh
eksfguh Jhokl
“k”kh izHkk
T;ksfr
fiz;adk Nksdj
fjpk
Lokrh flag
izhrh xqIrk
yrk dqekjh
fjfrdk “kekZ",73oha vf[ky Hkkjrh; iqfyl okyhcky DyLVj  izfr;ksfxrk ,e/kqou djuky,07-03-2025 ls 11-03-2025,2025,Vhe bosUV efgyk,dkaL;
368,lkekU;,lsid Vdjk,,"eksfgr xksLokeh
ukjk;.k flag
fu'kkUr rksej
veu
fo'kky ;kno
fgeka'kq jk;",73oha vf[ky Hkkjrh; iqfyl okyhcky DyLVj  izfr;ksfxrk ,e/kqou djuky,07-03-2025 ls 11-03-2025,2025,"DokM bosUV iq:""k",dkaL;
369,lkekU;, 'kwfVax M~;wVhehV,030540154,gsdk rtsUnz flag,25oha vf[ky Hkkjrh; iqfyl “kwfVax M~;wVhehV ¼esu½ izfr;ksfxrk 2024&25,psaxyiV~Vw,17-03-2025 ls 22-03-2025,2025,50;kMZ LuSi “kwfVax dkckZbu,dkaL;
1,dq-f[k-,rSjkdh,&,jksfgr 'kekZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,200eh0 Breast stroke,Lo.kZ
2,dq-f[k-,rSjkdh,232650123,fj;k oekZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,50eh0 Breast stroke,Lo.kZ
3,dq-f[k-,rSjkdh,&,jksfgr 'kekZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,50eh0 Breast stroke,jtr
4,dq-f[k-,rSjkdh,"234130085
232330366
232650123
232032031","rq""kkj jk;
gf""kZr fujoku
fj;k oekZ
oUnuk lkguh",72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,Qzh LVkby feDl fjys 4x50,dkaL;
5,dq-f[k-,rSjkdh,232650123,fj;k oekZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,50eh- Qzh Lvkby,jtr 
6,dq-f[k-,rSjkdh,232032031,oUnkuk lkguh,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,50eh- Qzh Lvkby,dkaL;
7,dq-f[k-,rSjkdh,234100792,vukfedk lkguh,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,200eh- cVj¶ykbZ,dkaL;
8,dq-f[k-,rSjkdh,232650123,fj;k oekZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,100eh0 Breast stroke ,Lo.kZ
9,dq-f[k-,rSjkdh,232032031,oUnkuk lkguh,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,100eh0 Qzh LVkbZy,dkaL;
10,dq-f[k-,rSjkdh,232032031,oUnkuk lkguh,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,50eh- cVj¶ykbZ,dkaL;
11,dq-f[k-,rSjkdh,234100792,vukfedk lkguh,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,800eh0 Qzh LVkbZy,dkaL;
12,dq-f[k-,rSjkdh,,vkj{kh jksfgr “kekZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,100eh0 Breast stroke ,Lo.kZ
13,dq-f[k-,ØkWld.Vªh,"232030123
232030051
232030093
232530102","e-vkj{kh eerk iky
e-vkj{kh f”kYih ;kno
e-vkj{kh izseyrk
e-vkj{kh dkty pdzorhZ",72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,Vhe bosUV ¼ØkWld.Vªh½,Lo.kZ
14,dq-f[k-@lk-,ØkWld.Vªh,"180540378
232510719
232510533
232330193","m-fu- cyjke
vkj{kh fizUl dqekj
vkj{kh fj’khiky flag
vkj{kh nsosUnz pkS/kjh",72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,Vhe bosUV ¼ØkWld.Vªh½,Lo.kZ
15,lkekU;,ØkWld.Vªh,180540378,m-fu- cyjke,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,10fdeh,Lo.kZ
16,dq-f[k-,ØkWld.Vªh,232510719,vkj{kh fizUl dqekj,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,Vhe bosUV ¼ØkWld.Vªh½,jtr
17,dq-f[k-,ØkWld.Vªh,232030123,e-vkj{kh eerk iky,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,xka/khuxj] xqtjkr,24-03-2025 ls 28-03-2025 ,2025,Vhe bosUV ¼ØkWld.Vªh½,dkaL;
18,dq-f[k-, 'kwfVax LiksV~lZ,"232290473
232570386
232510126","vkj{kh fu”kkar rksej
vkj{kh xkSjo “kekZ
vkj{kh vueksy vjksjk",18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,25eh- jSfiM Qk;j fiLVy ¼Vhe bosUV½,dkaL;
19,dq-f[k-, 'kwfVax LiksV~lZ,232510432,vkj{kh veu jkoy,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"50eh- jkbQy
¼Fkzh iksth”ku½",dkaL;
20,dq-f[k-, 'kwfVax LiksV~lZ,&,"e-vkj{kh vYdqe fu'kk
e-vkj{kh jf'e dqekjh
e-vkj{kh iwtk oekZ",18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"50eh- jkbQy
¼izksu iksth”ku½",Lo.kZ
21,dq-f[k-, 'kwfVax LiksV~lZ,&,vkj{kh 'k'kkad f=ikBh,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"50eh- jkbQy
¼izksu iksth”ku½",Lo.kZ
22,dq-f[k-, 'kwfVax LiksV~lZ,&,"e-vkj{kh euh""kk iky
e-vkj{kh usgk
e-vkj{kh efgek dEckst",18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"10eh- ,;j fiLVy",Lo.kZ
23,dq-f[k-, 'kwfVax LiksV~lZ,&,"e-vkj{kh euh""kk iky",18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"10eh- ,;j fiLVy",Lo.kZ
24,dq-f[k-, 'kwfVax LiksV~lZ,&,e-vkj{kh usgk,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"10eh- ,;j fiLVy",jtr
25,dq-f[k-, 'kwfVax LiksV~lZ,&,e-vkj{kh vYdqe fu'kk,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,bUnkSj,24-03-2025 ls 29-03-2025 ,2025,"50eh- jkbQy
¼izksu iksth”ku½",jtr
26,dq-f[k-@lk-,"ckLdsVcky 
¼efgyk Vhe½","232290529
232510096
232031995
234103586
234240382
232290402
234240542
232010134
234103645","fyizkebZ lriFkh
lk{kh flag
cj[kk lksudj
eulk chih
jkxuh >ka
vuqjk/kk lsB
uSUlh xqIrk
eukyh cksjk
vuqlqbZ;k luy th ukFk",izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,y[kuÅ,07-04-2025 ls 11-04-2025,2025,&,Lo.kZ
27,dq-f[k-@lk-,"ckLdsVcky 
¼iq:""k Vhe½","190745516
182664351
180590562
190575832
183211297
232330395
234103674
202151643
232290516
232510878
2988
3249","vkdk'k iokaj
lR;thr pijkuk
fgeka'kw flag
lfpu pkS/kjh
 'kjn lw;Zoa'kh
QSly [kku
v{k; dqekj Mh
dqynhi flag
fnfXot; flag
g""kZ Mkxj
eks- dSQ
dq'ky flag",izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,y[kuÅ,07-04-2025 ls 11-04-2025,2025,&,Lo.kZ
28,dq-f[k-@lk-,cSMfeUVu,&,efgyk Vhe,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,Vhe pSfEi;uf'ki,jtr
29,dq-f[k-@lk-,cSMfeUVu,&,"iq:""k Vhe",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,Vhe pSfEi;uf'ki,jtr
30,dq-f[k-,cSMfeUVu,&,"tquSn vUlkjh
fjpk ;kno",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,dkaL;
31,dq-f[k-,cSMfeUVu,234240308,"jktu ;kno
fleju pkS/kjh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,fefJr ;qxy vksiu,Lo.kZ
32,dq-f[k-,cSMfeUVu,232530030,tquSn vUlkjh o vU;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,dkaL;
33,dq-f[k-,cSMfeUVu,232510852,fleju pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk flxYl,dkaL;
34,dq-f[k-,cSMfeUVu,234240164,fjpk ;kno,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk flxYl,dkaL;
35,dq-f[k-@lk-,cSMfeUVu,"232510618
232510621","dfiy
fi;w""k",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,"iq:""k ;qxy vksiu",jtr
36,dq-f[k-@lk-,cSMfeUVu,&,"fleju pkS/kjh
fjpk ;kno",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,efgyk ;qxy,jtr
37,lsuk-,cSMfeUVu,&,Jherh pk: fuxe,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,jktif=r efgyk flaxYl,dkaL;
38,dq-f[k-@lk-,Vscy Vsful,&,"jkgqy pkS/kjh
vjfoUn pkS/kjh
d`"".kk flag
lqczrjkt oekZ
fo'kky jkt",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,"iq:""k Vhe pSfEi;uf'ki",Lo.kZ
39,dq-f[k-@lk-,Vscy Vsful,&,"jkgqy pkS/kjh
vjfoUn pkS/kjh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
40,dq-f[k-,Vscy Vsful,&,"lqczrjkt oekZ
J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,Lo.kZ
41,dq-f[k-,Vscy Vsful,&,lqczrjkt oekZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,jtr
42,lkekU;,Vscy Vsful,&,jkgqy pkS/kjh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,dkaL;
43,dq-f[k-@lk-,Vscy Vsful,&,"vjfoUn pkS/kjh
xquxqu lkgw",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu feDl McYl,jtr
44,lkekU;,Vscy Vsful,&,"egs'kpUnz ik.Ms;
,pvks- vpZuk",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,osVuZl 40 Iyl feDl McYl,dkaL;
45,lkekU;,Vscy Vsful,&,"ftrsUnz flag
e/kq d';i",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,osVuZl 50 Iyl feDl McYl,jtr
46,lkekU;,Vscy Vsful,&,"egs'kpUnz ik.Ms;
'khyk ;kn;",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,osVuZl 50 Iyl feDl McYl,dkaL;
47,dq-f[k-@lk-,Vscy Vsful,&,"xquxqu lkgw
jkuh flag
J`f""V tk;loky
fiz;adk vjksMk
jkseh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,Vhe pSfEi;uf'ki efgyk,Lo.kZ
48,dq-f[k-,Vscy Vsful,&,"l`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,Lo.kZ
49,dq-f[k-,Vscy Vsful,&,"xquxqu lkgw
J`f""V tk;loky",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,Lo.kZ
50,dq-f[k-,Vscy Vsful,&,xquxqu lkgw,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,jtr
51,lkekU;,Vscy Vsful,&,"jkuh flag
jkseh",izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu McYl,jtr
52,lkekU;,Vscy Vsful,&,jkseh,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,dksPph] dsjy ,11-04-2025 ls 15-04-2025 ,2025,vksiu flaxy,dkaL;
